iter	Passed	Remaining
354	213692	5805814
355	214275	5804709
356	214759	5800906
357	215370	5800575
358	215930	5798859
359	216517	5797860
360	217010	5794357
361	217585	5793051
362	217836	5783173
363	218410	5781876
364	218950	5779694
365	219498	5777738
366	220006	5774730
367	220578	5773397
368	221083	5770343
369	221291	5759562
370	221473	5748166
371	222062	5747352
372	222610	5745491
373	223204	5744832
374	223445	5735111
375	224035	5734350
376	224545	5731569
377	225381	5737103
378	225977	5736502
379	226518	5734482
380	227088	5733238
381	227601	5730541
382	228110	5727779
383	228648	5725750
384	229197	5723985
385	229726	5721748
386	230232	5718923
387	230756	5716576
388	231252	5713552
389	231831	5712558
390	232006	5701651
391	232535	5699504
392	233080	5697717
393	233664	5696902
394	234047	5691200
395	234505	5687353
396	235077	5686259
397	235652	5685263
398	236019	5679254
399	236506	5676150
400	236996	5673150
401	237613	5673168
402	238174	5671852
403	238711	5669979
404	239193	5666816
405	239683	5663844
406	240282	5663470
407	240762	5660280
408	241283	5658078
409	241862	5657211
410	242516	5658120
411	242953	5653967
412	243429	5650746
413	243998	5649679
414	244214	5640475
415	244876	5641579
416	245388	5639225
417	245547	5628801
418	246062	5626559
419	246619	5625278
420	247597	5633570
421	249084	5653389
422	249669	5652692
423	250148	5649589
424	250451	5642523
425	250989	5640790
426	251487	5638145
427	251818	5631789
428	252309	5629026
429	252813	5626573
430	253126	5619867
431	253509	5614764
432	254159	5615576
433	254571	5611128
434	254780	5602237
435	255330	5600879
436	255884	5599599
437	256418	5597887
438	256901	5595079
439	257406	5592736
440	258053	5593493
441	258633	5592802
442	259130	5590321
443	259293	5580656
444	259912	5580822
445	260445	5579143
446	260981	5577534
447	261540	5576426
448	262042	5574089
449	262598	5572917
450	263195	5572615
451	263784	5572157
452	264256	5569223
453	264727	5566276
454	265231	5564029
455	265745	5562013
456	266267	5560155
457	266843	5559436
458	267414	5558613
459	268063	5559413
460	268667	5559261
461	269172	5557080
462	269768	5556768
463	270578	5560863
464	271124	5559501
465	272036	5565655
466	272988	5572584
467	273631	5573190
468	274588	5580177
469	276003	5596414
470	276482	5593629
471	277554	5602834
472	278155	5602511
473	278718	5601423
474	279253	5599758
475	279887	5600104
476	280953	5609057
477	282436	5626284
478	283109	5627321
479	283598	5624709
480	284175	5623837
481	284446	5616925
