iter	Logloss
0	0.6706750117
1	0.6485954951
2	0.6272544002
3	0.6071825433
4	0.5885842545
5	0.5709261841
6	0.5541799492
7	0.5386976398
8	0.5238086129
9	0.5099547276
10	0.496718485
11	0.4842821265
12	0.4725955044
13	0.4618492118
14	0.4518058802
15	0.4422615142
16	0.4333776131
17	0.4251078763
18	0.4172734421
19	0.4098198603
20	0.4028959743
21	0.3963213528
22	0.3902202704
23	0.384508323
24	0.3789637664
25	0.3738312877
26	0.3689255637
27	0.3642930442
28	0.359966568
29	0.3558980247
30	0.3520534187
31	0.3484375194
32	0.3449951543
33	0.3418003208
34	0.3386973053
35	0.3358178754
36	0.333038851
37	0.3304167192
38	0.3279328882
39	0.3255663344
40	0.3233110384
41	0.3212651205
42	0.3192289801
43	0.3173047662
44	0.3154549401
45	0.3136722004
46	0.3120567664
47	0.3104500078
48	0.3089067609
49	0.3074514304
50	0.3060463155
51	0.30472737
52	0.3034624677
53	0.3022559816
54	0.3011006528
55	0.2999845664
56	0.2989225776
57	0.2979380152
58	0.2969411673
59	0.2960040505
60	0.2951233278
61	0.2942670454
62	0.2934633617
63	0.292671748
64	0.2918925827
65	0.2911562862
66	0.2904588484
67	0.2897861248
68	0.2891306827
69	0.2885205063
70	0.2879349091
71	0.2873538905
72	0.286796923
73	0.28625369
74	0.2857466467
75	0.2852504812
76	0.2847809274
77	0.2843274051
78	0.2838734704
79	0.2834444896
80	0.283040644
81	0.2826556077
82	0.2822644531
83	0.2819277055
84	0.281572228
85	0.2812214372
86	0.2808961105
87	0.2805594873
88	0.2802738846
89	0.2799706367
90	0.2796674903
91	0.2793813575
92	0.2791003074
93	0.2788307184
94	0.2785739098
95	0.2783252884
96	0.2780799553
97	0.2778658222
98	0.2776413929
99	0.2774142427
100	0.2772100154
101	0.2769959746
102	0.2767901989
103	0.2765843961
104	0.2763918612
105	0.2761990924
106	0.2760359989
107	0.2758699926
108	0.275709001
109	0.2755332673
110	0.2753824627
111	0.2752358084
112	0.2750831927
113	0.2749342271
114	0.274791742
115	0.2746464483
116	0.2745102656
117	0.2743797795
118	0.2742541386
119	0.2741246527
120	0.2740059338
121	0.2738872203
122	0.2737780817
123	0.2736632594
124	0.2735560454
125	0.2734478439
126	0.2733357165
127	0.2732323781
128	0.273136259
129	0.2730408064
130	0.2729350838
131	0.2728405664
132	0.2727380456
133	0.2726480154
134	0.2725619539
135	0.2724735354
136	0.2723880149
137	0.2723114116
138	0.2722255194
139	0.2721533307
140	0.2720780973
141	0.2719989938
142	0.2719303023
143	0.2718545669
144	0.2717808611
145	0.2717201136
146	0.2716501929
147	0.2715904664
148	0.2715225522
149	0.2714553686
150	0.2713927685
151	0.2713309657
152	0.2712772699
153	0.2712199736
154	0.2711567071
155	0.2710994239
156	0.2710500917
157	0.2709955563
158	0.2709402229
159	0.2708924608
160	0.2708370321
161	0.270786763
162	0.2707397764
163	0.2706883344
164	0.2706485571
165	0.2706012723
166	0.2705525234
167	0.2705115719
168	0.2704588348
169	0.2704119177
170	0.2703719166
171	0.2703243622
172	0.2702791073
173	0.2702386996
174	0.2701980234
175	0.2701514126
176	0.2701084998
177	0.2700690121
178	0.2700289508
179	0.2699896477
180	0.2699540158
181	0.2699189675
182	0.2698782878
183	0.2698421496
184	0.2698048262
185	0.2697694945
186	0.2697422886
187	0.2697061604
188	0.2696770075
189	0.2696456331
190	0.2696100506
191	0.2695799412
192	0.2695466224
193	0.2695120381
194	0.2694745792
195	0.269440599
196	0.2694153642
197	0.269381477
198	0.2693515634
199	0.2693161733
200	0.2692874598
201	0.2692641958
202	0.2692403136
203	0.2692107463
204	0.2691793378
205	0.2691485012
206	0.269119408
207	0.2690949829
208	0.2690701248
209	0.2690379225
210	0.2690092059
211	0.268977652
212	0.2689529423
213	0.2689309766
214	0.2689072488
215	0.268878567
216	0.2688528988
217	0.2688201767
218	0.2687970675
219	0.2687771428
220	0.2687497139
221	0.2687202994
222	0.2687005986
223	0.2686763743
224	0.2686509965
225	0.268627076
226	0.2686004697
227	0.2685778317
228	0.2685622085
229	0.2685340708
230	0.2685149773
231	0.2684949001
232	0.2684706158
233	0.2684483265
234	0.268411159
235	0.2683882524
236	0.2683643434
237	0.2683389554
238	0.2683208678
239	0.2682949445
240	0.2682757207
241	0.2682543178
242	0.2682472159
243	0.2682196074
244	0.2682030675
245	0.2681852295
246	0.2681659615
247	0.2681353327
248	0.268113959
249	0.268091161
250	0.2680753297
251	0.2680575101
252	0.2680395802
253	0.2680199419
254	0.2680008943
255	0.267975832
256	0.2679610158
257	0.2679395494
258	0.2679137666
259	0.267896067
260	0.2678736256
261	0.2678570711
262	0.2678412571
263	0.2678263082
264	0.2678076245
265	0.2677872932
266	0.2677694888
267	0.2677467748
268	0.2677346047
269	0.2677147709
270	0.2677024947
271	0.2676842598
272	0.2676670911
273	0.2676498906
274	0.2676270654
275	0.2676118253
276	0.2675950312
277	0.2675789291
278	0.2675627284
279	0.2675525103
280	0.2675273809
281	0.2675119043
282	0.2674944259
283	0.2674934476
284	0.2674813515
285	0.2674669994
286	0.2674558277
287	0.2674499994
288	0.2674276501
289	0.2674225935
290	0.2674077481
291	0.2673879961
292	0.2673727063
293	0.2673681437
294	0.2673575909
295	0.2673464972
296	0.2673316509
297	0.2673195975
298	0.2673039231
299	0.2672869461
300	0.2672711148
301	0.2672514449
302	0.2672344085
303	0.2672140158
304	0.2671975989
305	0.2671780273
306	0.2671633091
307	0.2671424687
308	0.2671279743
309	0.2671193279
310	0.2671090021
311	0.2670904847
312	0.2670754782
313	0.2670616971
314	0.2670506026
315	0.2670375263
316	0.2670234158
317	0.267015047
318	0.2669996139
319	0.2669765854
320	0.2669543189
321	0.2669399627
322	0.2669313597
323	0.266916427
324	0.2669022576
325	0.2668863251
326	0.2668762663
327	0.2668643346
328	0.2668502245
329	0.2668346907
330	0.2668249722
331	0.2668116931
332	0.2668011229
333	0.2667926863
334	0.2667744381
335	0.2667691504
336	0.2667604926
337	0.2667497293
338	0.2667336391
339	0.2667275966
340	0.2667165977
341	0.2667015156
342	0.2666929041
343	0.2666815411
344	0.2666674531
345	0.2666580073
346	0.2666456679
347	0.2666365092
348	0.2666270475
349	0.2666113388
350	0.2665962305
351	0.2665802738
352	0.2665637581
353	0.2665535846
354	0.266544833
355	0.2665343711
356	0.2665252388
357	0.2665100471
358	0.2664991697
359	0.2664844621
360	0.2664779798
361	0.2664654109
362	0.2664626133
363	0.2664447489
364	0.2664362422
365	0.2664259557
366	0.2664113343
367	0.2664020312
368	0.2663921392
369	0.2663909326
370	0.2663904122
371	0.2663748567
372	0.2663667698
373	0.2663583054
374	0.2663557339
375	0.2663450247
376	0.2663273474
377	0.266309734
378	0.2663020884
379	0.2662936688
380	0.2662823306
381	0.2662718517
382	0.2662604909
383	0.2662503652
384	0.2662401186
385	0.2662249516
386	0.2662120587
387	0.2662032688
388	0.2661970753
389	0.2661847143
390	0.2661841332
391	0.2661760886
392	0.2661607914
393	0.2661518405
394	0.2661499085
395	0.2661481113
396	0.2661345067
397	0.2661252335
398	0.2661234332
399	0.2661116753
400	0.2661046336
401	0.2660945513
402	0.2660870333
403	0.2660777238
404	0.2660673522
405	0.2660566519
406	0.2660396564
407	0.2660332889
408	0.2660188658
409	0.2660107687
410	0.2659962669
411	0.2659890572
412	0.26597744
413	0.2659696169
414	0.2659689092
415	0.2659533486
416	0.2659425861
417	0.2659421794
418	0.2659296859
419	0.2659232619
420	0.2659159061
421	0.2659090279
422	0.2658930242
423	0.2658869972
424	0.2658858809
425	0.2658809913
426	0.2658689549
427	0.2658622506
428	0.2658548915
429	0.2658415953
430	0.2658406262
431	0.2658376144
432	0.2658238921
433	0.2658187209
434	0.2658177859
435	0.2658087759
436	0.2657943428
437	0.2657822222
438	0.2657686369
